x y time dx dy dt dr^2 TotalDisplacementSquared
19
3.89035736133768E-06 1.95444789967374E-05 0 0 0 0 0 0
3.84387433687003E-06 1.95044899425287E-05 0.0820082 -4.64830244676571E-08 -3.99890542086219E-08 0.0820082 3.7597960201609E-15 3.7597960201609E-15
3.81456252713851E-06 1.94431448111159E-05 0.1650165 -2.93118097315115E-08 -6.13451314128E-08 0.0830083 4.62240733779003E-15 1.60134740668362E-14
3.95940087267845E-06 1.94363811814724E-05 0.2480248 1.44838345539937E-07 -6.76362964356869E-09 0.0830083 2.10238930247015E-14 1.64521441233268E-14
4.12895045542368E-06 1.9443434308584E-05 0.3310331 1.69549582745231E-07 7.05312711167849E-09 0.0830083 2.87968076111353E-14 6.71366935495304E-14
4.20004987886561E-06 1.93426499928744E-05 0.4130413 7.10994234419298E-08 -1.00784315709596E-07 0.0820082 1.52126063068264E-14 1.3664440221308E-13
4.2407010743914E-06 1.94053277573779E-05 0.4960496 4.06511955257924E-08 6.26777645034906E-08 0.0830083 5.58102186083123E-15 1.4210378469153E-13
4.28638575204229E-06 1.9413533157136E-05 0.5790579 4.56846776508826E-08 8.2053997580509E-09 0.0830083 2.15441835725447E-15 1.73985299152985E-13
4.25783618076605E-06 1.94637124552218E-05 0.6620662 -2.8549571276236E-08 5.01792980858333E-08 0.0830082999999999 3.3330399764438E-15 1.41563916956847E-13
4.31503956372968E-06 1.95509784003422E-05 0.7440744 5.72033829636327E-08 8.72659451203504E-08 0.0820082 1.0887572200232E-14 1.80397215275738E-13
4.2319332998997E-06 1.95953736208626E-05 0.8270827 -8.31062638299844E-08 4.43952205204141E-08 0.0830083 8.87758669283518E-15 1.19264384569371E-13
4.32669524991538E-06 1.95695306329685E-05 0.910091 9.47619500156787E-08 -2.5842987894066E-08 0.0830083 9.64768719406682E-15 1.91018337486299E-13
4.33811192829235E-06 1.95016375545852E-05 0.9930993 1.14166783769685E-08 -6.78930783833707E-08 0.0830082999999999 4.73981063753365E-15 2.02319541394439E-13
4.34462268173097E-06 1.93622761671285E-05 1.0761076 6.5107534386275E-09 -1.39361387456606E-07 0.0830083000000001 1.9463986224169E-14 2.39554852429477E-13
4.32590035699286E-06 1.92871430071399E-05 1.1591159 -1.87223247381141E-08 -7.51331599886882E-08 0.0830082999999999 5.99551717348521E-15 2.5591951260641E-13
4.27771486095382E-06 1.93130111991947E-05 1.2411241 -4.81854960390411E-08 2.58681920548085E-08 0.0820082 2.9910053887129E-15 2.03623173808129E-13
4.33619293078056E-06 1.92868556701031E-05 1.3241324 5.84780698267409E-08 -2.61555290915716E-08 0.0830082999999999 4.10379635272123E-15 2.65139133406558E-13
4.44320306656694E-06 1.92711527673897E-05 1.4071407 1.07010135786381E-07 -1.57029027134143E-08 0.0830083000000001 1.16977503146467E-14 3.80345601439854E-13
4.52071452532707E-06 1.90782874874203E-05 1.490149 7.75114587601307E-08 -1.9286527996935E-07 0.0830082999999999 4.32050424567793E-14 6.14684677552033E-13
18
9.5536454018227E-08 1.60647783761392E-05 0 0 0 0 0 0
1.5497299729973E-07 1.6149302430243E-05 0.0830083 5.9436543281503E-08 8.45240541038379E-08 0.0830083 1.06770183994025E-14 1.06770183994025E-14
1.11884147598433E-07 1.60729488765203E-05 0.1660166 -4.30888497012967E-08 -7.6353553722722E-08 0.0830083 7.68651413466953E-15 3.34004161870133E-16
1.66440811330652E-07 1.62525572652562E-05 0.2480248 5.45566637322189E-08 1.79608388735861E-07 0.0820082 3.52356028618827E-14 4.02883390838941E-14
1.3047730829421E-07 1.62714788732394E-05 0.3310331 -3.59635030364425E-08 1.89216079832732E-08 0.0830083 1.65140079932488E-15 4.39459587990261E-14
9.27914110429448E-08 1.63740870581361E-05 0.4140414 -3.76858972512649E-08 1.02608184896699E-07 0.0830083 1.1948666459428E-14 9.5679396019626E-14
6.52811314246292E-08 1.6482450845119E-05 0.4970497 -2.75102796183156E-08 1.08363786982871E-07 0.0830083 1.24995258139469E-14 1.75365675888941E-13
7.234375E-08 1.65016796875E-05 0.5790579 7.06261857537081E-09 1.92288423809934E-08 0.0820082 4.19628960454262E-16 1.91420657388475E-13
1.27549697493518E-07 1.65479688850475E-05 0.6620662 5.52059474935177E-08 4.62891975475372E-08 0.0830082999999999 5.19038644825196E-15 2.34497915656919E-13
1.71371463714637E-07 1.65515221402214E-05 0.7450745 4.38217662211194E-08 3.55325517386262E-09 0.0830083 1.93297281706903E-15 2.42670440568576E-13
1.67417610710608E-07 1.65670539392379E-05 0.8280828 -3.95385300402953E-09 1.55317990164967E-08 0.0830083 2.56869734266321E-16 2.57447641973561E-13
1.35714285714286E-07 1.66364048934491E-05 0.9110911 -3.17033249963219E-08 6.93509542111954E-08 0.0830082999999999 5.81465566582573E-15 3.28371133451648E-13
1.76710466696874E-07 1.65556892840961E-05 0.9940994 4.09961809825879E-08 -8.07156093530352E-08 0.0830083 8.19569644838889E-15 2.47582739885392E-13
1.77614795918367E-07 1.64459586466165E-05 1.0761076 9.04329221493749E-10 -1.09730637479515E-07 0.0820082000000001 1.20416306130017E-14 1.52035252810266E-13
1.71344647519582E-07 1.64195292101828E-05 1.1591159 -6.27014839878509E-09 -2.64294364337765E-08 0.0830082999999999 7.37829871149819E-16 1.31595036456553E-13
1.82682500364272E-07 1.64277466122687E-05 1.2421242 1.13378528446899E-08 8.21740208592203E-09 0.0830082999999999 1.96072604169559E-16 1.39340373832708E-13
1.7890656874745E-07 1.64512103903169E-05 1.3251325 -3.77593161682219E-09 2.3463778048189E-08 0.0830083000000001 5.64806539869593E-16 1.5628027761139E-13
1.58227543758415E-07 1.64060877091748E-05 1.4071407 -2.06790249890349E-08 -4.51226811420362E-08 0.0820082 2.463678427943E-15 1.20422233550055E-13
11
4.11164303464406E-06 1.91162293524339E-05 0 0 0 0 0 0
4.07467025953765E-06 1.91497659906396E-05 0.1660166 -3.69727751064044E-08 3.35366382057707E-08 0.1660166 2.49169220121351E-15 2.49169220121351E-15
4.07096869213937E-06 1.92910915670763E-05 0.2480248 -3.70156739828342E-09 1.41325576436625E-07 0.0820082 1.99866201563483E-14 3.22311962478318E-14
4.22808170090779E-06 1.9276994744386E-05 0.3310331 1.57113008768418E-07 -1.40968226902025E-08 0.0830083 2.48832179342239E-14 3.94034742508185E-14
4.39400057686761E-06 1.94642342082492E-05 0.4140414 1.65918875959821E-07 1.87239463863158E-07 0.0830083 6.25876902275331E-14 2.00833161321587E-13
4.32998624484182E-06 1.95342847317744E-05 0.4970497 -6.40143320257929E-08 7.00505235252109E-08 0.0830083 9.00491055086458E-15 2.22444057635043E-13
4.25896458987001E-06 1.96739130434783E-05 0.5790579 -7.1021654971803E-08 1.39628311703845E-07 0.0820082 2.45401409041999E-14 3.32714739891107E-13
4.11109967051071E-06 1.98046746293245E-05 0.6620662 -1.47864919359304E-07 1.30761585846287E-07 0.0830082999999999 3.89626267101694E-14 4.73957194517685E-13
4.125E-06 1.97522727272727E-05 0.7450745 1.39003294892914E-08 -5.24019020518196E-08 0.0830083 2.93917849855936E-15 4.04729583199944E-13
